gamma_sla,gamma_sf,status,objective,obj_val,objective_formula,cost,monetary_cost,compute_cost,bandwidth_cost,exp_deliver,omega_deliver,obj_reconstruction_error,cvar_sla,cvar_sf,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,posthoc_mean_sla_loss,posthoc_mean_sf_loss,zeta_sla,zeta_sf,is_pareto_nondominated,dominated_by,elapsed_sec,routing_mode,link_price_mode,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,umcf_access_sigma,virtual_edge_count,virtual_edge_price_policy,virtual_edge_sigma_policy,posthoc_warning,error
1.0,0.03,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.0,0.03,1.0,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.03,True,,0.15253419999498874,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.035,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.0,0.035,1.0,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.035,True,,0.1384204999776557,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.0377,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.0377,1.0,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.0377,True,,0.14574680000077933,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.04,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.04,1.0,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.04,True,,0.13769099995261058,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.0,0.045,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.0,0.045,1.0,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.045,True,,0.1550095999846235,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.03,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.1,0.03,1.1,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.1,0.03,True,,0.17224480002187192,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.035,OPTIMAL,-4060.2661938247893,-4060.2661938247893,monetary_cost - omega_deliver * expected_delivery,160.96,160.96,160.96,0.0,4221.226193824788,1.0,9.094947017729282e-13,1.1,0.035,1.1,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.1,0.035,True,,0.18482740002218634,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.0377,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.1,0.0377,1.1,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.1,0.0377,True,,0.2599505999824032,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.04,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.1,0.04,1.1,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.1,0.04,True,,0.15717639995273203,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
1.1,0.045,OPTIMAL,-4174.09598684997,-4174.09598684997,monetary_cost - omega_deliver * expected_delivery,149.56000000000003,149.56000000000003,149.56000000000003,0.0,4323.65598684997,1.0,9.094947017729282e-13,1.1,0.045,1.1,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.1,0.045,True,,0.17106389999389648,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
